Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-21,2023-12-22,6161,BLACK EYED SUSAN GIFT,Merchandise,26.50,
2023-12-21,2023-12-22,6161,TARGET        00010454,Merchandise,29.24,
2023-12-19,2023-12-20,2830,WEGMANS OWINGS MILLS #125,Merchandise,625.64,
2023-12-19,2023-12-19,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,987.39
2023-12-18,2023-12-19,6161,RING YEARLY PLAN,Merchandise,79.98,
2023-12-17,2023-12-18,6161,SANTONI'S MARKET,Merchandise,75.58,
2023-12-16,2023-12-18,6161,SQ *MILK & HONEY,Dining,82.88,
2023-12-15,2023-12-16,6161,SQ *BEN & JERRY'S DISTRIC,Dining,28.14,
2023-12-14,2023-12-15,2830,DUNKIN #340804 Q35,Dining,5.00,
2023-12-14,2023-12-15,2830,WALGREENS #19129,Health Care,6.66,
2023-12-14,2023-12-15,2830,THE REISTER`S DAUGHTER CO,Dining,50.00,
2023-12-14,2023-12-15,2830,TARGET        00010454,Merchandise,76.80,
2023-12-13,2023-12-14,2830,SQ *AMERICAN ICE CO. CAFE,Dining,18.89,
2023-12-12,2023-12-13,2830,WEGMANS OWINGS MILLS #125,Merchandise,336.04,
2023-12-12,2023-12-13,2830,TARGET.COM  *,Merchandise,45.68,
2023-12-12,2023-12-13,2830,TARGET.COM  *,Merchandise,26.50,
2023-12-11,2023-12-12,2830,TARGET.COM  *,Merchandise,7.42,
2023-12-11,2023-12-11,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2957.00
2023-12-09,2023-12-11,6161,JIFFY MART SMO 1700,Gas/Automotive,36.79,
2023-12-07,2023-12-09,2830,ROYALFARMS #34,Gas/Automotive,29.61,
2023-12-07,2023-12-09,6161,CHICK-FIL-A #03678,Dining,28.96,
2023-12-08,2023-12-09,6161,ATLANTIC BLUE WATER SERVI,Professional Services,293.00,
2023-12-06,2023-12-08,6161,SHOE ORTHODONTICS,Health Care,3944.40,
2023-12-06,2023-12-07,2830,FLITE TEST,Merchandise,15.76,
2023-12-05,2023-12-06,2830,WEGMANS OWINGS MILLS #125,Merchandise,482.20,
2023-12-04,2023-12-05,2830,TARGET        00010454,Merchandise,49.22,
2023-12-04,2023-12-05,2830,TARGET        00010454,Merchandise,,37.07
2023-12-03,2023-12-04,6161,SANTONI'S MARKET,Merchandise,38.28,
2023-12-02,2023-12-04,6161,VORTEX BREWING CO,Dining,107.70,
2023-12-02,2023-12-04,2830,SQ *NORTHERN CENTRAL RAIL,Merchandise,6.35,
2023-12-01,2023-12-02,2830,WAL-MART #2436,Merchandise,75.11,
2023-12-01,2023-12-02,2830,GIANT 0322,Merchandise,5.38,
2023-11-30,2023-11-30,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,2752.16
2023-11-29,2023-11-30,6161,PRINTIFY.COM,Other Services,14.92,
2023-11-29,2023-11-30,2830,TARGET.COM  *,Merchandise,48.25,
2023-11-29,2023-11-30,2830,TARGET        00010454,Merchandise,178.05,
2023-11-29,2023-11-30,2830,TARGET        00010454,Merchandise,,29.48
2023-11-28,2023-11-29,2830,WEGMANS OWINGS MILLS #125,Merchandise,395.20,
2023-11-27,2023-11-29,2830,ROYALFARMS #34,Gas/Automotive,40.03,
2023-11-28,2023-11-29,6161,HEALTHY PAWS PET INSURAN,Insurance,66.06,
2023-11-28,2023-11-29,6161,APPLE.COM/BILL,Merchandise,2.99,
2023-11-27,2023-11-28,6161,IN *ORGANIC LAWNS OF AMER,Other Services,229.00,
2023-11-26,2023-11-28,6161,SHEETZ 0698   00006981,Gas/Automotive,35.89,
2023-11-26,2023-11-28,6161,HOLIDAY INN EXPRESS & SU,Lodging,228.10,
2023-11-26,2023-11-27,6161,THE ROXBURY DINER,Dining,51.42,
2023-11-26,2023-11-27,2830,TARGET.COM  *,Merchandise,17.98,
2023-11-25,2023-11-27,6161,CVS/PHARMACY #05065,Health Care,10.48,
2023-11-24,2023-11-27,6161,ROYALFARMS #34,Gas/Automotive,34.07,
2023-11-24,2023-11-27,6161,QDOBA 2434,Dining,45.26,
2023-11-24,2023-11-24,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4000.00
2023-11-22,2023-11-24,2830,KOHL'S #0491,Merchandise,,31.79
2023-11-23,2023-11-24,2830,TARGET.COM  *,Merchandise,40.81,
2023-11-23,2023-11-24,2830,BEAUTYCOUNTER,Merchandise,135.77,
2023-11-21,2023-11-24,2830,FIVE BELOW 229,Merchandise,10.87,
2023-11-22,2023-11-22,2830,DNDBEYOND.CODDB CONTE,Internet,38.14,
2023-11-20,2023-11-21,2830,TARGET.COM  *,Merchandise,166.94,
2023-11-20,2023-11-21,2830,WEGMANS OWINGS MILLS #125,Merchandise,304.05,
2023-11-20,2023-11-21,2830,TARGET.COM  *,Merchandise,69.94,
2023-11-20,2023-11-21,6161,SANTONI'S MARKET,Merchandise,46.29,
2023-11-19,2023-11-20,2830,WWW.KOHLS.COM #0873,Merchandise,9.00,
2023-11-19,2023-11-20,2830,TARGET.COM  *,Merchandise,198.27,
2023-11-19,2023-11-20,6161,SP STONELANTERN,Merchandise,39.90,
2023-11-18,2023-11-20,6161,SANTONI'S MARKET,Merchandise,14.27,
2023-11-18,2023-11-20,6161,THE WINE POST,Merchandise,26.14,
2023-11-15,2023-11-16,2830,SONNY LEE'S HUNAN TASTE,Dining,56.66,
2023-11-14,2023-11-15,2830,WWW.KOHLS.COM #0873,Merchandise,83.09,
2023-11-14,2023-11-15,2830,WEGMANS OWINGS MILLS #125,Merchandise,253.44,
2023-11-14,2023-11-15,2830,ORIGINAL WORKS YOURS INC,Other,21.89,
2023-11-13,2023-11-15,6161,CHICK-FIL-A #02928,Dining,60.27,
2023-11-13,2023-11-14,6161,GREAT WOLF LODGE PERRY,Lodging,77.13,
2023-11-12,2023-11-14,6161,GREAT WOLF LODGE PERRY,Lodging,72.04,
2023-11-11,2023-11-13,2830,7-ELEVEN 32785,Gas/Automotive,31.29,
2023-11-12,2023-11-13,6161,Disney Plus,Phone/Cable,148.40,
2023-11-12,2023-11-13,6161,GOPOD MOBILE PURCHASE,Lodging,18.00,
2023-11-10,2023-11-11,2830,WAL-MART #2436,Merchandise,,51.90
2023-11-10,2023-11-11,2830,TARGET        00010454,Merchandise,,14.84
2023-11-10,2023-11-11,2830,TARGET        00010454,Merchandise,93.76,
2023-11-10,2023-11-11,6161,LOWES #03388*,Merchandise,233.59,
2023-11-10,2023-11-11,6161,OLO 142 Owings Mills,Dining,26.36,
2023-11-09,2023-11-10,2830,WEIS MARKETS INC 29,Merchandise,16.68,
2023-11-08,2023-11-10,2830,STARBUCKS STORE 02858,Dining,6.31,
2023-11-08,2023-11-10,6161,ROYALFARMS #34,Gas/Automotive,40.45,
2023-11-08,2023-11-09,6161,TST* Gourmet Girls - Old,Dining,21.15,
2023-11-07,2023-11-08,2830,OLD NAVY ON-LINE,Merchandise,,28.90
2023-11-07,2023-11-08,2830,TARGET.COM  *,Merchandise,13.13,
2023-11-07,2023-11-08,2830,WEGMANS OWINGS MILLS #125,Merchandise,479.36,
2023-11-07,2023-11-08,2830,TARGET.COM  *,Merchandise,,18.01
2023-11-07,2023-11-08,2830,TARGET        00010454,Merchandise,,93.69
2023-11-07,2023-11-08,6161,WALMART.COM,Merchandise,23.32,
2023-11-06,2023-11-07,2830,WAL-MART #2436,Merchandise,199.94,
2023-11-06,2023-11-07,2830,TARGET.COM  *,Merchandise,72.06,
2023-11-04,2023-11-06,2830,CHICK-FIL-A #03678,Dining,44.26,
2023-11-05,2023-11-06,2830,TARGET.COM  *,Merchandise,79.17,
2023-11-04,2023-11-06,2830,LOWES #00907*,Merchandise,221.93,
2023-11-04,2023-11-06,2830,SP CLEARSTEM SKINCAR,Merchandise,42.31,
2023-11-04,2023-11-06,6161,LOWES #03388*,Merchandise,113.39,
2023-11-04,2023-11-06,6161,FH* NORTHERN CENTRAL R,Merchandise,274.86,
2023-11-03,2023-11-04,2830,WEIS MARKETS INC 29,Merchandise,30.08,
2023-11-02,2023-11-03,2830,WEIS MARKETS INC 29,Merchandise,26.98,
2023-10-31,2023-11-02,2830,WEGMANS OWINGS MILLS #125,Merchandise,,9.99
2023-10-31,2023-11-01,2830,WEGMANS OWINGS MILLS #125,Merchandise,372.71,
2023-10-30,2023-11-01,2830,ROYALFARMS #34,Gas/Automotive,45.98,
2023-10-31,2023-11-01,6161,LOWES #03388*,Merchandise,58.59,

