Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-07-11,2024-07-13,2830,ENDO-MET LABORATORIES.,Health Care,146.00,
2024-07-12,2024-07-13,6161,SQ *BEN & JERRY'S ICE CRE,Dining,24.25,
2024-07-12,2024-07-13,6161,APPLE.COM/BILL,Entertainment,9.99,
2024-07-11,2024-07-13,6161,TST* FIREBREW BAR & GRILL,Dining,121.13,
2024-07-11,2024-07-12,2830,DOCTORS SUPPLEMENT STORE,Health Care,108.58,
2024-07-11,2024-07-12,6161,SANDBRIDGE SEASIDE,Merchandise,15.36,
2024-07-11,2024-07-12,6161,SQ *MILITARY AVIATION MUS,Other Services,18.70,
2024-07-11,2024-07-12,6161,TM *MERCYME TOBYMAC ZA,Entertainment,386.92,
2024-07-10,2024-07-11,6161,SANDBRIDGE SEASIDE,Merchandise,15.50,
2024-07-09,2024-07-10,6161,MOTORWORLD MINI GOLF,Entertainment,65.21,
2024-07-08,2024-07-09,6161,Sea-lections gift shop,Merchandise,50.75,
2024-07-08,2024-07-09,6161,SANDBRIDGE SUGAR SHACK,Dining,30.04,
2024-07-06,2024-07-08,2830,CHICK-FIL-A #03678,Dining,36.36,
2024-07-06,2024-07-08,6161,TST* SANDBRIDGE ISLAND RE,Dining,77.79,
2024-07-06,2024-07-08,6161,SANDBRIDGE SEASIDE,Merchandise,30.70,
2024-07-07,2024-07-08,6161,PARKMOBILE,Gas/Automotive,4.45,
2024-07-05,2024-07-08,6161,ROYALFARMS #34,Gas/Automotive,25.93,
2024-07-05,2024-07-06,6161,WEIS MARKETS INC 29,Merchandise,47.95,
2024-07-03,2024-07-05,2830,HOBBY-LOBBY #902,Merchandise,16.48,
2024-07-03,2024-07-05,2830,PARTY CITY 1090,Merchandise,15.75,
2024-07-03,2024-07-04,2830,WEIS MARKETS INC 29,Merchandise,48.82,
2024-07-02,2024-07-04,2830,WWW.MOUNTAINSIDEVET.CO,Professional Services,,228.96
2024-07-02,2024-07-03,2830,WEGMANS OWINGS MILLS #125,Merchandise,275.31,
2024-06-30,2024-07-01,2830,TARGET.COM  *,Merchandise,19.51,
2024-06-30,2024-07-01,2830,TARGET.COM  *,Merchandise,20.13,
2024-06-29,2024-07-01,2830,FIVE BELOW 229,Merchandise,11.18,
2024-06-29,2024-07-01,2830,TST* IRON ROOSTER HUNT VA,Dining,55.34,
2024-06-28,2024-07-01,2830,THE WINE POST,Merchandise,9.80,
2024-06-29,2024-07-01,2830,"By Debbie, Inc.",Other Services,60.00,
2024-06-29,2024-07-01,6161,SANTONI'S MARKET,Merchandise,19.66,
2024-06-28,2024-06-29,2830,TARGET.COM  *,Merchandise,,37.09
2024-06-28,2024-06-29,2830,TARGET        00010454,Merchandise,8.61,
2024-06-28,2024-06-29,2830,WWW.MOUNTAINSIDEVET.CO,Professional Services,377.32,
2024-06-28,2024-06-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-06-27,2024-06-29,6161,TRACTOR SUPPLY CO #5509,Gas/Automotive,38.13,
2024-06-27,2024-06-29,6161,ROYALFARMS #34,Gas/Automotive,34.98,
2024-06-28,2024-06-29,6161,APPLE.COM/BILL,Entertainment,5.99,
2024-06-26,2024-06-27,2830,WALGREENS #19129,Health Care,29.57,
2024-06-26,2024-06-27,2830,WEIS MARKETS INC 29,Merchandise,6.24,
2024-06-26,2024-06-27,2830,SHERWIN WILLIAMS 703366,Merchandise,10.77,
2024-06-25,2024-06-26,2830,WEGMANS OWINGS MILLS #125,Merchandise,447.16,
2024-06-25,2024-06-26,6161,SANTONI'S MARKET,Merchandise,7.28,
2024-06-25,2024-06-26,6161,SANTONI'S MARKET,Merchandise,42.80,
2024-06-26,2024-06-26,6161,MYFITNESSPAL,Merchandise,79.99,
2024-06-25,2024-06-25,2830,TARGET.COM  *,Merchandise,49.19,
2024-06-24,2024-06-25,2830,TARGET.COM  *,Merchandise,24.48,
2024-06-24,2024-06-25,2830,TARGET.COM  *,Merchandise,28.27,
2024-06-24,2024-06-25,2830,TARGET.COM  *,Merchandise,,31.77
2024-06-22,2024-06-24,2830,TST* ALFEOS ITALIAN KITCH,Dining,34.88,
2024-06-22,2024-06-24,2830,SQ *GLYNDON SWIM CLUB,Merchandise,8.80,
2024-06-21,2024-06-24,6161,FIVE GUYS VA 142 QSR,Dining,21.34,
2024-06-20,2024-06-21,2830,PANERA BREAD #203782 P,Dining,4.86,
2024-06-20,2024-06-21,2830,PANERA BREAD #203782 P,Dining,30.28,
2024-06-20,2024-06-21,2830,WEGMANS OWINGS MILLS #125,Merchandise,395.16,
2024-06-17,2024-06-19,6161,WENDY'S 4886,Dining,13.46,
2024-06-16,2024-06-18,6161,QDOBA 2434,Dining,57.03,
2024-06-16,2024-06-17,6161,AUTOZONE #3468,Gas/Automotive,6.88,
2024-06-14,2024-06-17,2830,KOHL'S #0491,Merchandise,,30.17
2024-06-14,2024-06-17,2830,ROYALFARMS #34,Gas/Automotive,46.79,
2024-06-15,2024-06-17,6161,REISTERSTOWN WINE & SPIR,Merchandise,45.77,
2024-06-15,2024-06-17,6161,WEIS MARKETS INC 29,Merchandise,2.50,
2024-06-15,2024-06-15,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,8244.80
2024-06-14,2024-06-15,2830,KOHL'S #0491,Merchandise,51.68,
2024-06-12,2024-06-14,2830,CHICK-FIL-A #03678,Dining,46.91,
2024-06-13,2024-06-14,2830,SQ *THE COW,Merchandise,5.17,
2024-06-13,2024-06-14,2830,SQ *THE COW,Merchandise,12.24,
2024-06-12,2024-06-14,2830,THE WINE POST,Merchandise,9.80,
2024-06-13,2024-06-14,2830,SQ *FARMER STAN'S PLANTS,Merchandise,41.69,
2024-06-12,2024-06-13,2830,SANTONI'S MARKET,Merchandise,13.69,
2024-06-12,2024-06-13,2830,TARGET        00010454,Merchandise,,8.05
2024-06-12,2024-06-13,2830,TARGET        00010454,Merchandise,,17.28
2024-06-12,2024-06-13,2830,TARGET        00010454,Merchandise,55.25,
2024-06-12,2024-06-13,6161,APPLE.COM/BILL,Entertainment,9.99,
2024-06-11,2024-06-12,2830,WEGMANS OWINGS MILLS #125,Merchandise,400.33,
2024-06-10,2024-06-11,6161,IN *ORGANIC LAWNS OF AMER,Other Services,304.00,
2024-06-09,2024-06-10,6161,SANTONI'S MARKET,Merchandise,58.52,
2024-06-08,2024-06-10,6161,SANTONI'S MARKET,Merchandise,10.47,
2024-06-06,2024-06-08,2830,GLYNDON GARDENS LLC,Merchandise,3.17,
2024-06-06,2024-06-08,2830,HOBBY-LOBBY #902,Merchandise,12.47,
2024-06-06,2024-06-07,2830,MICHAELS STORES 5176,Merchandise,73.61,
2024-06-06,2024-06-07,2830,TARGET        00010454,Merchandise,25.44,
2024-06-06,2024-06-07,2830,DOCTORS SUPPLEMENT STORE,Health Care,234.04,
2024-06-06,2024-06-07,2830,THE TOT SPOT,Merchandise,44.21,
2024-06-05,2024-06-06,2830,TARGET.COM  *,Merchandise,,25.97
2024-06-05,2024-06-06,2830,TARGET.COM  *,Merchandise,37.09,
2024-06-05,2024-06-06,2830,TARGET        00010454,Merchandise,,65.82
2024-06-05,2024-06-06,2830,TARGET        00010454,Merchandise,40.00,
2024-06-05,2024-06-06,2830,TARGET        00010454,Merchandise,241.36,
2024-06-05,2024-06-06,6161,SIEBERT REALTY,Other Services,2396.80,
2024-06-04,2024-06-05,2830,WEGMANS OWINGS MILLS #125,Merchandise,441.02,
2024-06-04,2024-06-05,2830,WAVE - *MOZARTS GYM,Other Services,220.00,
2024-06-03,2024-06-04,2830,TARGET.COM  *,Merchandise,15.89,
2024-06-03,2024-06-04,2830,TARGET.COM  *,Merchandise,27.18,
2024-06-02,2024-06-03,2830,REVIVE HW,Other Services,500.00,
2024-05-31,2024-06-03,2830,CHICK-FIL-A #03678,Dining,25.94,
2024-05-31,2024-06-01,6161,CROCS INC,Merchandise,,60.81
2024-05-29,2024-05-30,2830,WWW.KOHLS.COM #0873,Merchandise,30.17,
2024-05-28,2024-05-30,2830,WEGMANS OWINGS MILLS #125,Merchandise,290.20,
2024-05-29,2024-05-30,6161,SANTONI'S MARKET,Merchandise,13.77,
2024-05-29,2024-05-30,6161,APPLE.COM/BILL,Entertainment,5.99,
2024-05-28,2024-05-29,2830,TARGET.COM  *,Merchandise,50.73,
2024-05-28,2024-05-29,2830,TARGET.COM  *,Merchandise,121.46,
2024-05-28,2024-05-29,2830,TARGET.COM  *,Merchandise,20.78,
2024-05-28,2024-05-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-05-28,2024-05-29,6161,SANTONI'S MARKET,Merchandise,32.76,
2024-05-26,2024-05-27,2830,TARGET.COM  *,Merchandise,2.18,
2024-05-26,2024-05-27,2830,TARGET.COM  *,Merchandise,129.32,
2024-05-26,2024-05-27,2830,TARGET.COM  *,Merchandise,26.54,
2024-05-25,2024-05-27,6161,THE WINE POST,Merchandise,49.86,
2024-05-25,2024-05-27,2830,WWW.KOHLS.COM #0873,Merchandise,169.54,
2024-05-25,2024-05-27,6161,WEIS MARKETS INC 29,Merchandise,86.40,
2024-05-25,2024-05-27,6161,WEIS MARKETS INC 29,Merchandise,24.37,
2024-05-23,2024-05-24,6161,PRICELINE OFFER 920B80,Payment/Credit,,12.03
2024-05-23,2024-05-24,2830,TARGET        00010454,Merchandise,132.50,
2024-05-23,2024-05-23,6161,CROCS INC,Merchandise,50.38,
2024-05-21,2024-05-22,2830,WEGMANS OWINGS MILLS #125,Merchandise,459.10,
2024-05-20,2024-05-22,2830,GLYNDON GARDENS LLC,Merchandise,66.85,
2024-05-20,2024-05-22,2830,GLYNDON GARDENS LLC,Merchandise,7.41,
2024-05-20,2024-05-22,2830,ROYALFARMS #34,Gas/Automotive,64.80,
2024-05-20,2024-05-22,2830,DSW HUNT VALLEY TOWN CENT,Merchandise,47.66,
2024-05-21,2024-05-22,6161,SP ONE BRAND,Merchandise,34.48,
2024-05-21,2024-05-22,6161,IZAKAYA 68 HUNT VALLEY,Dining,90.21,
2024-05-20,2024-05-21,2830,TARGET.COM  *,Merchandise,31.77,
2024-05-20,2024-05-21,2830,VACCAROS ITALIAN PASTRY,Dining,24.87,
2024-05-20,2024-05-21,2830,TARGET.COM  *,Merchandise,78.14,
2024-05-20,2024-05-21,2830,TARGET.COM  *,Merchandise,5.00,
2024-05-18,2024-05-20,6161,WEIS MARKETS INC 29,Merchandise,16.07,
2024-05-18,2024-05-20,6161,SANTONI'S MARKET,Merchandise,3.99,
2024-05-17,2024-05-18,6161,SANTONI'S MARKET,Merchandise,15.15,
2024-05-16,2024-05-17,2830,FIRST WATCH 1066,Dining,53.87,
2024-05-16,2024-05-17,6161,CROCS INC,Merchandise,60.81,
2024-05-15,2024-05-17,6161,TST* THE CORNER STABLE -,Dining,30.38,
2024-05-16,2024-05-16,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4185.67
2024-05-15,2024-05-16,2830,WEGMANS OWINGS MILLS #125,Merchandise,367.78,
2024-05-15,2024-05-16,2830,DOCTORS SUPPLEMENT STORE,Health Care,139.67,
2024-05-14,2024-05-15,6161,SANTONI'S MARKET,Merchandise,50.20,
2024-05-14,2024-05-15,6161,IN *ORGANIC LAWNS OF AMER,Other Services,152.00,
2024-05-12,2024-05-13,6161,EL GRAN POLLO MAIN STREE,Dining,79.52,
2024-05-12,2024-05-13,6161,APPLE.COM/BILL,Entertainment,9.99,
2024-05-10,2024-05-13,2830,CHICK-FIL-A #03678,Dining,17.05,
2024-05-11,2024-05-13,2830,TARGET.COM  *,Merchandise,20.00,
2024-05-11,2024-05-13,6161,SANTONI'S MARKET,Merchandise,16.95,
2024-05-10,2024-05-11,2830,REVIVE HW,Other Services,500.00,
2024-05-10,2024-05-11,6161,IC* INSTACART,Merchandise,280.31,
2024-05-09,2024-05-10,6161,SANTONI'S MARKET,Merchandise,51.62,
2024-05-08,2024-05-09,6161,SANTONI'S MARKET,Merchandise,6.49,
2024-05-06,2024-05-07,6161,THE GRILL AT HARRYMAN HO,Dining,275.46,
2024-05-04,2024-05-06,6161,SANTONI'S MARKET,Merchandise,22.33,
2024-05-03,2024-05-06,6161,ALDI 71033,Merchandise,29.66,
2024-05-03,2024-05-06,6161,THE WINE POST,Merchandise,84.75,
2024-05-03,2024-05-04,2830,WEGMANS OWINGS MILLS #125,Merchandise,63.47,
2024-05-03,2024-05-04,2830,HOFFMANS ICE CREAM,Dining,43.47,
2024-05-03,2024-05-04,6161,SANTONI'S MARKET,Merchandise,12.18,
2024-05-03,2024-05-04,6161,SPA IN THE VALLEY   HUNT,Other Services,156.00,
2024-05-02,2024-05-03,2830,TARGET        00010454,Merchandise,,70.92
2024-05-02,2024-05-03,2830,TARGET        00010454,Merchandise,205.34,
2024-05-01,2024-05-02,2830,WEGMANS OWINGS MILLS #125,Merchandise,485.56,
2024-04-30,2024-05-01,2830,SQ *AMERICAN ICE CO. CAFE,Dining,12.19,
2024-04-28,2024-04-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-04-27,2024-04-29,6161,GLYNDON GARDENS LLC,Merchandise,174.90,
2024-04-27,2024-04-29,6161,REI #62 TIMONIUM,Merchandise,,63.55
2024-04-27,2024-04-29,6161,FIRST WATCH - 0122,Dining,74.62,
2024-04-25,2024-04-27,2830,TST* THE BUS STOP,Dining,29.77,
2024-04-24,2024-04-25,2830,SANTONI'S MARKET,Merchandise,21.27,
2024-04-23,2024-04-24,2830,WEGMANS OWINGS MILLS #125,Merchandise,362.61,
2024-04-23,2024-04-24,2830,THE REISTER`S DAUGHTER CO,Dining,10.17,
2024-04-21,2024-04-23,6161,ROYALFARMS #34,Gas/Automotive,51.55,
2024-04-21,2024-04-22,2830,TARGET.COM  *,Merchandise,142.78,
2024-04-21,2024-04-22,2830,MLT (SCHOOL),Other Services,35.75,
2024-04-21,2024-04-22,6161,SANTONI'S MARKET,Merchandise,4.49,
2024-04-21,2024-04-22,6161,THE REISTER`S DAUGHTER CO,Dining,11.87,
2024-04-19,2024-04-20,2830,TARGET        00010454,Merchandise,50.05,
2024-04-19,2024-04-20,2830,TARGET        00010454,Merchandise,,41.75
2024-04-19,2024-04-20,2830,TARGET        00010454,Merchandise,164.72,
2024-04-18,2024-04-19,2830,USPS PO 2376500336,Other Services,9.85,
2024-04-18,2024-04-19,2830,SANTONI'S MARKET,Merchandise,16.17,
2024-04-17,2024-04-18,2830,TARGET.COM  *,Merchandise,40.50,
2024-04-16,2024-04-17,2830,WEGMANS OWINGS MILLS #125,Merchandise,255.75,
2024-04-16,2024-04-16,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3645.09
2024-04-15,2024-04-16,2830,DUNKIN #340804 Q35,Dining,0.98,
2024-04-15,2024-04-16,6161,IN *ORGANIC LAWNS OF AMER,Other Services,152.00,
2024-04-15,2024-04-16,6161,WWW.MOUNTAINSIDEVET.CO,Professional Services,244.30,
2024-04-13,2024-04-15,6161,SANTONI'S MARKET,Merchandise,44.13,
2024-04-12,2024-04-13,6161,APPLE.COM/BILL,Merchandise,9.99,
2024-04-11,2024-04-12,2830,TARGET        00010454,Merchandise,,30.22
2024-04-11,2024-04-12,2830,TARGET        00010454,Merchandise,6.36,
2024-04-11,2024-04-12,2830,TARGET        00010454,Merchandise,270.36,
2024-04-10,2024-04-12,6161,CHICK-FIL-A #03678,Dining,42.16,
2024-04-10,2024-04-11,2830,REVIVE HW,Other Services,20.00,
2024-04-09,2024-04-10,2830,WEGMANS OWINGS MILLS #125,Merchandise,390.77,
2024-04-08,2024-04-10,6161,THE HOME DEPOT #2565,Merchandise,24.35,
2024-04-08,2024-04-10,6161,ROYALFARMS #34,Gas/Automotive,23.53,
2024-04-08,2024-04-10,6161,ROYALFARMS #34,Gas/Automotive,18.55,
2024-04-08,2024-04-10,6161,ROYALFARMS #34,Gas/Automotive,7.36,
2024-04-08,2024-04-10,6161,REI #62 TIMONIUM,Merchandise,201.87,
2024-04-08,2024-04-09,2830,TARGET.COM  *,Merchandise,61.16,
2024-04-08,2024-04-08,6161,CAPITAL ONE MEMBER FEE,Fee/Interest Charge,59.00,
2024-04-07,2024-04-08,6161,WEIS MARKETS INC 29,Merchandise,37.76,
2024-04-07,2024-04-08,2830,THRIVE MARKET,Other Services,,59.95
2024-04-06,2024-04-08,6161,MISSION BBQ WESTMINSTER-S,Dining,8.47,
2024-04-06,2024-04-08,6161,MISSION BBQ WESTMINSTER-S,Dining,66.10,
2024-04-05,2024-04-08,6161,THE WINE POST,Merchandise,33.65,
2024-04-05,2024-04-06,2830,MLT (SCHOOL),Other Services,26.49,
2024-04-05,2024-04-06,6161,SANTONI'S MARKET,Merchandise,78.97,
2024-04-05,2024-04-06,6161,SQ *AMERICAN ICE CO. CAFE,Dining,28.04,
2024-04-05,2024-04-05,2830,THRIVE MARKET,Other Services,59.95,
2024-04-04,2024-04-05,2830,WAL-MART #2436,Merchandise,66.51,
2024-04-03,2024-04-05,2830,MVA WESTMINSTER,Other Services,48.00,
2024-04-04,2024-04-04,2830,SP BAJA GOLD SALT CO.,Merchandise,19.99,
2024-04-03,2024-04-04,2830,DOCTORS SUPPLEMENT STORE,Health Care,292.37,
2024-04-02,2024-04-03,2830,WEGMANS OWINGS MILLS #125,Merchandise,278.32,
2024-04-02,2024-04-03,2830,REVIVE HW,Other Services,500.00,
2024-03-29,2024-04-01,2830,ROYALFARMS #34,Gas/Automotive,48.02,
2024-03-28,2024-03-30,2830,ROYALFARMS #34,Gas/Automotive,39.08,
2024-03-28,2024-03-29,2830,SANTONI'S MARKET,Merchandise,23.66,
2024-03-28,2024-03-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-03-27,2024-03-28,6161,MISS SHIRLEYS CAFE ROLAND,Dining,194.04,
2024-03-27,2024-03-27,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,4672.47
2024-03-26,2024-03-27,2830,TARGET.COM  *,Merchandise,73.49,
2024-03-26,2024-03-27,2830,WEGMANS OWINGS MILLS #125,Merchandise,585.57,
2024-03-23,2024-03-25,6161,5GUYS 0509 ECOMM,Dining,79.71,
2024-03-22,2024-03-23,2830,TARGET        00010454,Merchandise,87.98,
2024-03-20,2024-03-21,2830,FES PTA READ A THON,Other Services,50.00,
2024-03-20,2024-03-21,2830,WAVE - *MOZARTS GYM,Other Services,220.00,
2024-03-19,2024-03-20,2830,WEGMANS OWINGS MILLS #125,Merchandise,357.11,
2024-03-18,2024-03-20,2830,CARTER'S #1272,Merchandise,31.80,
2024-03-18,2024-03-19,6161,TAXHAWK.COM,Professional Services,19.07,
2024-03-18,2024-03-19,2830,SANTONI'S MARKET,Merchandise,24.20,
2024-03-18,2024-03-19,2830,DSW.,Merchandise,39.74,
2024-03-18,2024-03-19,6161,IN *ORGANIC LAWNS OF AMER,Other Services,152.00,
2024-03-17,2024-03-18,6161,AMC 9640 ONLINE,Entertainment,62.00,
2024-03-15,2024-03-18,6161,THE WINE POST,Merchandise,27.98,
2024-03-16,2024-03-18,6161,FIRST WATCH - 0087,Dining,10.00,
2024-03-15,2024-03-16,6161,EL GRAN POLLO MAIN STREE,Dining,60.98,
2024-03-14,2024-03-15,2830,LOWES #00907*,Merchandise,131.33,
2024-03-12,2024-03-14,2830,CHICK-FIL-A #03678,Dining,48.82,
2024-03-13,2024-03-14,2830,TARGET        00010454,Merchandise,103.07,
2024-03-12,2024-03-13,2830,WEGMANS OWINGS MILLS #125,Merchandise,333.07,
2024-03-11,2024-03-13,2830,HOBBY-LOBBY #902,Merchandise,24.41,
2024-03-11,2024-03-13,2830,ROYALFARMS #34,Gas/Automotive,40.91,
2024-03-12,2024-03-13,6161,APPLE.COM/BILL,Entertainment,,1.65
2024-03-12,2024-03-13,6161,APPLE.COM/BILL,Entertainment,9.99,
2024-03-11,2024-03-12,2830,TARGET.COM  *,Merchandise,39.04,
2024-03-10,2024-03-11,2830,TARGET.COM  *,Merchandise,76.55,
2024-03-10,2024-03-11,2830,TARGET.COM  *,Merchandise,27.01,
2024-03-10,2024-03-11,6161,WEIS MARKETS INC 29,Merchandise,28.78,
2024-03-09,2024-03-11,6161,APPLE.COM/BILL,Entertainment,84.79,
2024-03-08,2024-03-09,2830,BESTBUYCOM806923670887,Merchandise,35.78,
2024-03-08,2024-03-09,6161,SANTONI'S MARKET,Merchandise,17.10,
2024-03-07,2024-03-08,2830,TARGET.COM  *,Merchandise,,31.79
2024-03-07,2024-03-08,2830,TARGET        00010454,Merchandise,115.43,
2024-03-07,2024-03-08,2830,TARGET        00010454,Merchandise,,50.17
2024-03-05,2024-03-07,2830,CHICK-FIL-A #03678,Dining,34.35,
2024-03-05,2024-03-07,6161,MESSIAH UNIVERSITY,Dining,2.75,
2024-03-05,2024-03-06,2830,WEGMANS OWINGS MILLS #125,Merchandise,326.48,
2024-03-04,2024-03-05,6161,SANTONI'S MARKET,Merchandise,37.29,
2024-03-04,2024-03-04,6161,SUNSET SLUSH,Dining,12.71,
2024-03-02,2024-03-04,6161,RAISING CANES 0632,Dining,49.13,
2024-03-02,2024-03-04,6161,LOWES #00568*,Merchandise,237.30,
2024-02-29,2024-03-01,2830,TARGET        00010454,Merchandise,,44.41
2024-02-29,2024-03-01,2830,TARGET        00010454,Merchandise,101.63,
2024-02-28,2024-02-29,6161,HEALTHY PAWS PET INSURAN,Insurance,91.32,
2024-02-28,2024-02-29,6161,APPLE.COM/BILL,Entertainment,2.99,
2024-02-27,2024-02-28,2830,WEGMANS OWINGS MILLS #125,Merchandise,306.95,
2024-02-26,2024-02-27,6161,SANTONI'S MARKET,Merchandise,19.52,
2024-02-23,2024-02-24,2830,TARGET        00010454,Merchandise,121.64,
2024-02-23,2024-02-24,2830,TARGET        00010454,Merchandise,,86.66
2024-02-22,2024-02-24,6161,LITTLE SPICE @ LAKESIDE,Dining,60.16,
2024-02-21,2024-02-22,2830,WEGMANS OWINGS MILLS #125,Merchandise,353.06,
2024-02-21,2024-02-22,2830,BEAUTYCOUNTER,Merchandise,148.82,
2024-02-20,2024-02-21,2830,DUNKIN #340804 Q35,Dining,3.96,
2024-02-20,2024-02-21,2830,OLD NAVY ON-LINE,Merchandise,65.17,
2024-02-20,2024-02-21,2830,TARGET.COM  *,Merchandise,80.56,
2024-02-19,2024-02-20,2830,TARGET.COM  *,Merchandise,25.18,
2024-02-19,2024-02-20,6161,TST* IRON ROOSTER HUNT VA,Dining,115.23,
2024-02-18,2024-02-20,6161,ROYALFARMS #34,Gas/Automotive,39.42,
2024-02-18,2024-02-19,6161,WEIS MARKETS INC 29,Merchandise,36.40,
2024-02-18,2024-02-19,6161,TST* ALFEOS ITALIAN KITCH,Dining,84.01,
2024-02-17,2024-02-17,6161,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3579.40
2024-02-15,2024-02-17,2830,HOBBY-LOBBY #902,Merchandise,38.68,
2024-02-16,2024-02-17,2830,TARGET        00010454,Merchandise,72.21,
2024-02-15,2024-02-17,2830,PARTY CITY 1090,Merchandise,24.91,
2024-02-15,2024-02-17,6161,CHICK-FIL-A #03678,Dining,56.67,
2024-02-15,2024-02-16,2830,WEIS MARKETS INC 29,Merchandise,31.16,
2024-02-15,2024-02-16,2830,TARGET        00010454,Merchandise,50.05,
2024-02-14,2024-02-16,2830,SHELL OIL 57525765202,Gas/Automotive,42.55,
2024-02-14,2024-02-15,2830,WEGMANS OWINGS MILLS #125,Merchandise,552.32,
2024-02-14,2024-02-15,2830,THE REISTER`S DAUGHTER CO,Dining,15.90,
2024-02-13,2024-02-15,6161,THE WINE POST,Merchandise,94.49,
2024-02-13,2024-02-14,6161,SANTONI'S MARKET,Merchandise,10.35,
2024-02-13,2024-02-14,6161,PPL*TM BEACHBODY BODI,Phone/Cable,189.74,
2024-02-12,2024-02-13,2830,TARGET.COM  *,Merchandise,58.28,
2024-02-12,2024-02-13,2830,TARGET.COM  *,Merchandise,8.71,
2024-02-12,2024-02-13,2830,TARGET.COM  *,Merchandise,8.71,
2024-02-12,2024-02-13,6161,IN *ORGANIC LAWNS OF AMER,Other Services,152.00,
2024-02-12,2024-02-12,2830,TARGET.COM  *,Merchandise,11.30,
2024-02-11,2024-02-12,2830,TARGET.COM  *,Merchandise,160.32,
